Place	Date	Time	Value	Unit
1	3/6/20	18:17:09	53.1	dB      
2	3/6/20	18:17:14	51.7	dB      
3	3/6/20	18:17:19	52	dB      
4	3/6/20	18:17:24	50.8	dB      
5	3/6/20	18:17:29	50.3	dB      
6	3/6/20	18:17:34	56.4	dB      
7	3/6/20	18:17:39	60.6	dB      
8	3/6/20	18:17:44	50.5	dB      
9	3/6/20	18:17:49	52.6	dB      
10	3/6/20	18:17:54	51.2	dB      
11	3/6/20	18:17:59	53.8	dB      
12	3/6/20	18:18:04	53.1	dB      
13	3/6/20	18:18:09	53.5	dB      
14	3/6/20	18:18:14	50.2	dB      
15	3/6/20	18:18:19	49.9	dB      
16	3/6/20	18:18:24	51.2	dB      
17	3/6/20	18:18:29	56.5	dB      
18	3/6/20	18:18:34	51.5	dB      
19	3/6/20	18:18:39	52.5	dB      
20	3/6/20	18:18:44	52.5	dB      
21	3/6/20	18:18:49	52.9	dB      
22	3/6/20	18:18:54	52.1	dB      
23	3/6/20	18:18:59	53.7	dB      
24	3/6/20	18:19:04	54.7	dB      
25	3/6/20	18:19:09	51	dB      
26	3/6/20	18:19:14	51.2	dB      
27	3/6/20	18:19:19	55.4	dB      
28	3/6/20	18:19:24	54.4	dB      
29	3/6/20	18:19:29	52.2	dB      
30	3/6/20	18:19:34	51.5	dB      
31	3/6/20	18:19:39	52.8	dB      
32	3/6/20	18:19:44	52.2	dB      
33	3/6/20	18:19:49	51.5	dB      
34	3/6/20	18:19:54	53	dB      
35	3/6/20	18:19:59	53.7	dB      
36	3/6/20	18:20:04	50.7	dB      
37	3/6/20	18:20:09	50.8	dB      
38	3/6/20	18:20:14	52.2	dB      
39	3/6/20	18:20:19	54.3	dB      
40	3/6/20	18:20:24	51.3	dB      
41	3/6/20	18:20:29	52.5	dB      
42	3/6/20	18:20:34	50.9	dB      
43	3/6/20	18:20:39	52	dB      
44	3/6/20	18:20:44	50.8	dB      
45	3/6/20	18:20:49	52.2	dB      
46	3/6/20	18:20:54	53.6	dB      
47	3/6/20	18:20:59	53.9	dB      
48	3/6/20	18:21:04	52.4	dB      
49	3/6/20	18:21:09	50.6	dB      
50	3/6/20	18:21:14	50.5	dB      
51	3/6/20	18:21:19	53.5	dB      
52	3/6/20	18:21:24	52.6	dB      
53	3/6/20	18:21:29	50.1	dB      
54	3/6/20	18:21:34	50.3	dB      
55	3/6/20	18:21:39	51.3	dB      
56	3/6/20	18:21:44	51	dB      
57	3/6/20	18:21:49	50.8	dB      
58	3/6/20	18:21:54	50.2	dB      
59	3/6/20	18:21:59	53.2	dB      
60	3/6/20	18:22:04	51	dB      
61	3/6/20	18:22:09	50.2	dB      
62	3/6/20	18:22:14	53.1	dB      
63	3/6/20	18:22:19	60.1	dB      
64	3/6/20	18:22:24	52.9	dB      
65	3/6/20	18:22:29	56.1	dB      
66	3/6/20	18:22:34	60.2	dB      
67	3/6/20	18:22:39	51.2	dB      
68	3/6/20	18:22:44	51.3	dB      
69	3/6/20	18:22:49	53.8	dB      
70	3/6/20	18:22:54	52.9	dB      
71	3/6/20	18:22:59	51.8	dB      
72	3/6/20	18:23:04	51.7	dB      
73	3/6/20	18:23:09	50.6	dB      
