Place	Date	Time	Value	Unit
24096	2/8/20	6:29:23	45.2	dB      
24095	2/8/20	6:29:18	47	dB      
24094	2/8/20	6:29:13	44.1	dB      
24093	2/8/20	6:29:08	59.7	dB      
24092	2/8/20	6:29:03	44.4	dB      
24091	2/8/20	6:28:58	43.1	dB      
24090	2/8/20	6:28:53	52.8	dB      
24089	2/8/20	6:28:48	52.2	dB      
24088	2/8/20	6:28:43	44.1	dB      
24087	2/8/20	6:28:38	45.1	dB      
24086	2/8/20	6:28:33	45.6	dB      
24085	2/8/20	6:28:28	44.3	dB      
24084	2/8/20	6:28:23	44.8	dB      
24083	2/8/20	6:28:18	44.2	dB      
24082	2/8/20	6:28:13	43.3	dB      
24081	2/8/20	6:28:08	42.8	dB      
24080	2/8/20	6:28:03	43.8	dB      
24079	2/8/20	6:27:58	43.1	dB      
24078	2/8/20	6:27:53	43.2	dB      
24077	2/8/20	6:27:48	43.3	dB      
24076	2/8/20	6:27:43	42	dB      
24075	2/8/20	6:27:38	42.2	dB      
24074	2/8/20	6:27:33	44.2	dB      
24073	2/8/20	6:27:28	44.1	dB      
24072	2/8/20	6:27:23	44.2	dB      
24071	2/8/20	6:27:18	43.8	dB      
24070	2/8/20	6:27:13	51.9	dB      
24069	2/8/20	6:27:08	54.8	dB      
24068	2/8/20	6:27:03	60.7	dB      
24067	2/8/20	6:26:58	53.1	dB      
24066	2/8/20	6:26:53	54.5	dB      
24065	2/8/20	6:26:48	52.2	dB      
24064	2/8/20	6:26:43	47.7	dB      
24063	2/8/20	6:26:38	47.2	dB      
24062	2/8/20	6:26:33	43.2	dB      
24061	2/8/20	6:26:28	43.2	dB      
24060	2/8/20	6:26:23	43.4	dB      
24059	2/8/20	6:26:18	42.7	dB      
24058	2/8/20	6:26:13	58.1	dB      
24057	2/8/20	6:26:08	48.4	dB      
24056	2/8/20	6:26:03	43.5	dB      
24055	2/8/20	6:25:58	43.4	dB      
24054	2/8/20	6:25:53	42.8	dB      
24053	2/8/20	6:25:48	43.2	dB      
24052	2/8/20	6:25:43	42.8	dB      
24051	2/8/20	6:25:38	44.8	dB      
24050	2/8/20	6:25:33	44.9	dB      
24049	2/8/20	6:25:28	42.4	dB      
24048	2/8/20	6:25:23	42.9	dB      
24047	2/8/20	6:25:18	43.7	dB      
24046	2/8/20	6:25:13	44.4	dB      
24045	2/8/20	6:25:08	44.1	dB      
24044	2/8/20	6:25:03	42.7	dB      
24043	2/8/20	6:24:58	42.3	dB      
24042	2/8/20	6:24:53	42.6	dB      
24041	2/8/20	6:24:48	53.2	dB      
24040	2/8/20	6:24:43	43.1	dB      
24039	2/8/20	6:24:38	42.9	dB      
24038	2/8/20	6:24:33	42.8	dB      
24037	2/8/20	6:24:28	44.7	dB      
24036	2/8/20	6:24:23	46.6	dB      
24035	2/8/20	6:24:18	46.6	dB      
24034	2/8/20	6:24:13	51.3	dB      
24033	2/8/20	6:24:08	49.2	dB      
24032	2/8/20	6:24:03	55.9	dB      
24031	2/8/20	6:23:58	56.9	dB      
24030	2/8/20	6:23:53	57.6	dB      
24029	2/8/20	6:23:48	53.1	dB      
24028	2/8/20	6:23:43	48.5	dB      
24027	2/8/20	6:23:38	51.9	dB      
24026	2/8/20	6:23:33	45.4	dB      
24025	2/8/20	6:23:28	45.1	dB      
24024	2/8/20	6:23:23	43.4	dB      
24023	2/8/20	6:23:18	43.2	dB      
24022	2/8/20	6:23:13	43.7	dB      
24021	2/8/20	6:23:08	43.6	dB      
24020	2/8/20	6:23:03	42.4	dB      
24019	2/8/20	6:22:58	42.3	dB      
24018	2/8/20	6:22:53	42.8	dB      
24017	2/8/20	6:22:48	42.9	dB      
24016	2/8/20	6:22:43	42.7	dB      
24015	2/8/20	6:22:38	43	dB      
24014	2/8/20	6:22:33	43.7	dB      
24013	2/8/20	6:22:28	46.4	dB      
24012	2/8/20	6:22:23	43.9	dB      
24011	2/8/20	6:22:18	46.2	dB      
