Place	Date	Time	Value	Unit
1	2/28/20	14:09:36	45.8	dB      
2	2/28/20	14:09:41	46.7	dB      
3	2/28/20	14:09:46	48.4	dB      
4	2/28/20	14:09:51	49.3	dB      
5	2/28/20	14:09:56	48.4	dB      
6	2/28/20	14:10:01	47.8	dB      
7	2/28/20	14:10:06	47.7	dB      
8	2/28/20	14:10:11	50.7	dB      
9	2/28/20	14:10:16	50.6	dB      
10	2/28/20	14:10:21	50.8	dB      
11	2/28/20	14:10:26	46.1	dB      
12	2/28/20	14:10:31	45.9	dB      
13	2/28/20	14:10:36	45.1	dB      
14	2/28/20	14:10:41	45.3	dB      
15	2/28/20	14:10:46	48.4	dB      
16	2/28/20	14:10:51	47.9	dB      
17	2/28/20	14:10:56	48.2	dB      
18	2/28/20	14:11:01	48.3	dB      
19	2/28/20	14:11:06	46.8	dB      
20	2/28/20	14:11:11	45.5	dB      
21	2/28/20	14:11:16	46.8	dB      
22	2/28/20	14:11:21	45.2	dB      
23	2/28/20	14:11:26	46.7	dB      
24	2/28/20	14:11:31	47.8	dB      
25	2/28/20	14:11:36	46.7	dB      
26	2/28/20	14:11:41	45.4	dB      
27	2/28/20	14:11:46	45	dB      
28	2/28/20	14:11:51	44.8	dB      
29	2/28/20	14:11:56	45.7	dB      
30	2/28/20	14:12:01	47.6	dB      
31	2/28/20	14:12:06	45.7	dB      
32	2/28/20	14:12:11	46.2	dB      
33	2/28/20	14:12:16	46.4	dB      
34	2/28/20	14:12:21	47.6	dB      
35	2/28/20	14:12:26	47.3	dB      
36	2/28/20	14:12:31	52.2	dB      
37	2/28/20	14:12:36	47.3	dB      
38	2/28/20	14:12:41	48.3	dB      
39	2/28/20	14:12:46	46.4	dB      
40	2/28/20	14:12:51	47.3	dB      
41	2/28/20	14:12:56	53.6	dB      
42	2/28/20	14:13:01	48.2	dB      
43	2/28/20	14:13:06	45.7	dB      
44	2/28/20	14:13:11	47.5	dB      
45	2/28/20	14:13:16	48.1	dB      
46	2/28/20	14:13:21	49.7	dB      
