Place	Date	Time	Value	Unit
1	2/19/20	12:34:03	53.8	dB      
2	2/19/20	12:34:08	51.3	dB      
3	2/19/20	12:34:13	53.2	dB      
4	2/19/20	12:34:18	47.8	dB      
5	2/19/20	12:34:23	47.5	dB      
6	2/19/20	12:34:28	48.5	dB      
7	2/19/20	12:34:33	53.9	dB      
8	2/19/20	12:34:38	50.2	dB      
9	2/19/20	12:34:43	50.8	dB      
10	2/19/20	12:34:48	49.9	dB      
11	2/19/20	12:34:53	50.2	dB      
12	2/19/20	12:34:58	50	dB      
13	2/19/20	12:35:03	49.7	dB      
14	2/19/20	12:35:08	53.8	dB      
15	2/19/20	12:35:13	56.2	dB      
16	2/19/20	12:35:18	50.9	dB      
17	2/19/20	12:35:23	50.2	dB      
18	2/19/20	12:35:28	51.3	dB      
19	2/19/20	12:35:33	51	dB      
20	2/19/20	12:35:38	52	dB      
21	2/19/20	12:35:43	50.6	dB      
22	2/19/20	12:35:48	49.7	dB      
23	2/19/20	12:35:53	49.9	dB      
24	2/19/20	12:35:58	48.4	dB      
25	2/19/20	12:36:03	49.3	dB      
26	2/19/20	12:36:08	49.4	dB      
27	2/19/20	12:36:13	49.9	dB      
28	2/19/20	12:36:18	53.3	dB      
29	2/19/20	12:36:23	50.8	dB      
30	2/19/20	12:36:28	50.9	dB      
31	2/19/20	12:36:33	49.6	dB      
32	2/19/20	12:36:38	47.9	dB      
33	2/19/20	12:36:43	49.9	dB      
34	2/19/20	12:36:48	46.5	dB      
35	2/19/20	12:36:53	49.4	dB      
36	2/19/20	12:36:58	48.1	dB      
37	2/19/20	12:37:03	49.9	dB      
38	2/19/20	12:37:08	51	dB      
39	2/19/20	12:37:13	50.5	dB      
40	2/19/20	12:37:18	48.5	dB      
41	2/19/20	12:37:23	49.2	dB      
42	2/19/20	12:37:28	49	dB      
43	2/19/20	12:37:33	51.6	dB      
44	2/19/20	12:37:38	49.5	dB      
45	2/19/20	12:37:43	49.1	dB      
46	2/19/20	12:37:48	49.2	dB      
47	2/19/20	12:37:53	49.4	dB      
48	2/19/20	12:37:58	48.3	dB      
49	2/19/20	12:38:03	48.8	dB      
50	2/19/20	12:38:08	50.3	dB      
51	2/19/20	12:38:13	49.6	dB      
52	2/19/20	12:38:18	49.7	dB      
53	2/19/20	12:38:23	49.3	dB      
54	2/19/20	12:38:28	49.9	dB      
55	2/19/20	12:38:33	49.9	dB      
56	2/19/20	12:38:38	49.2	dB      
57	2/19/20	12:38:43	48.9	dB      
58	2/19/20	12:38:48	48.9	dB      
59	2/19/20	12:38:53	49.1	dB      
60	2/19/20	12:38:58	49.5	dB      
61	2/19/20	12:39:03	50	dB      
62	2/19/20	12:39:08	50.1	dB      
63	2/19/20	12:39:13	49.3	dB      
64	2/19/20	12:39:18	50.9	dB      
65	2/19/20	12:39:23	50.8	dB      
66	2/19/20	12:39:28	48	dB      
67	2/19/20	12:39:33	48.9	dB      
68	2/19/20	12:39:38	49.1	dB      
69	2/19/20	12:39:43	49.2	dB      
70	2/19/20	12:39:48	49.8	dB      
71	2/19/20	12:39:53	48.8	dB      
72	2/19/20	12:39:58	51.9	dB      
73	2/19/20	12:40:03	49.3	dB      
74	2/19/20	12:40:08	47.9	dB      
75	2/19/20	12:40:13	47.8	dB      
76	2/19/20	12:40:18	49.6	dB      
77	2/19/20	12:40:23	50.2	dB      
78	2/19/20	12:40:28	50.3	dB      
79	2/19/20	12:40:33	51	dB      
80	2/19/20	12:40:38	50.3	dB      
81	2/19/20	12:40:43	48.4	dB      
82	2/19/20	12:40:48	46.8	dB      
83	2/19/20	12:40:53	49.4	dB      
84	2/19/20	12:40:58	49.7	dB      
85	2/19/20	12:41:03	47.9	dB      
86	2/19/20	12:41:08	48.6	dB      
87	2/19/20	12:41:13	47.8	dB      
88	2/19/20	12:41:18	47	dB      
