Place	Date	Time	Value	Unit
30000	2/28/20	14:09:31	49.4	dB      
29999	2/28/20	14:09:26	44.9	dB      
29998	2/28/20	14:09:21	43.3	dB      
29997	2/28/20	14:09:16	43	dB      
29996	2/28/20	14:09:11	43	dB      
29995	2/28/20	14:09:06	43	dB      
29994	2/28/20	14:09:01	42.6	dB      
29993	2/28/20	14:08:56	41.4	dB      
29992	2/28/20	14:08:51	42.4	dB      
29991	2/28/20	14:08:46	42	dB      
29990	2/28/20	14:08:41	45.8	dB      
29989	2/28/20	14:08:36	40.9	dB      
29988	2/28/20	14:08:31	43.4	dB      
29987	2/28/20	14:08:26	43.3	dB      
29986	2/28/20	14:08:21	40.7	dB      
29985	2/28/20	14:08:16	62.9	dB      
29984	2/28/20	14:08:11	41.2	dB      
29983	2/28/20	14:08:06	40.5	dB      
29982	2/28/20	14:08:01	46.6	dB      
29981	2/28/20	14:07:56	44.4	dB      
29980	2/28/20	14:07:51	44.5	dB      
29979	2/28/20	14:07:46	43.5	dB      
29978	2/28/20	14:07:41	43.2	dB      
29977	2/28/20	14:07:36	44	dB      
29976	2/28/20	14:07:31	46.5	dB      
29975	2/28/20	14:07:26	43.9	dB      
29974	2/28/20	14:07:21	41.8	dB      
29973	2/28/20	14:07:16	42.2	dB      
29972	2/28/20	14:07:11	42.1	dB      
29971	2/28/20	14:07:06	41	dB      
29970	2/28/20	14:07:01	42.1	dB      
29969	2/28/20	14:06:56	41.2	dB      
29968	2/28/20	14:06:51	42.7	dB      
29967	2/28/20	14:06:46	41.5	dB      
29966	2/28/20	14:06:41	46.3	dB      
29965	2/28/20	14:06:36	44.2	dB      
29964	2/28/20	14:06:31	42	dB      
29963	2/28/20	14:06:26	43.2	dB      
29962	2/28/20	14:06:21	43.7	dB      
29961	2/28/20	14:06:16	43.1	dB      
29960	2/28/20	14:06:11	55.8	dB      
29959	2/28/20	14:06:06	45.3	dB      
29958	2/28/20	14:06:01	48	dB      
29957	2/28/20	14:05:56	52.1	dB      
29956	2/28/20	14:05:51	44.1	dB      
29955	2/28/20	14:05:46	46.7	dB      
29954	2/28/20	14:05:41	44.3	dB      
29953	2/28/20	14:05:36	44.8	dB      
29952	2/28/20	14:05:31	43.3	dB      
29951	2/28/20	14:05:26	43.3	dB      
29950	2/28/20	14:05:21	49.5	dB      
29949	2/28/20	14:05:16	43.2	dB      
29948	2/28/20	14:05:11	42.9	dB      
29947	2/28/20	14:05:06	48.5	dB      
29946	2/28/20	14:05:01	45.2	dB      
29945	2/28/20	14:04:56	46.8	dB      
29944	2/28/20	14:04:51	47.8	dB      
29943	2/28/20	14:04:46	47.6	dB      
29942	2/28/20	14:04:41	49.7	dB      
29941	2/28/20	14:04:36	48	dB      
29940	2/28/20	14:04:31	50	dB      
29939	2/28/20	14:04:26	52.1	dB      
29938	2/28/20	14:04:21	49.4	dB      
29937	2/28/20	14:04:16	51.5	dB      
29936	2/28/20	14:04:11	46	dB      
29935	2/28/20	14:04:06	48.3	dB      
29934	2/28/20	14:04:01	47.5	dB      
29933	2/28/20	14:03:56	46.3	dB      
29932	2/28/20	14:03:51	44.9	dB      
29931	2/28/20	14:03:46	44.8	dB      
29930	2/28/20	14:03:41	45	dB      
29929	2/28/20	14:03:36	44.8	dB      
29928	2/28/20	14:03:31	45	dB      
29927	2/28/20	14:03:26	44.7	dB      
29926	2/28/20	14:03:21	44.2	dB      
29925	2/28/20	14:03:16	49.5	dB      
29924	2/28/20	14:03:11	47.9	dB      
29923	2/28/20	14:03:06	45.6	dB      
29922	2/28/20	14:03:01	46.1	dB      
29921	2/28/20	14:02:56	43.4	dB      
29920	2/28/20	14:02:51	46.9	dB      
29919	2/28/20	14:02:46	43.4	dB      
29918	2/28/20	14:02:41	46.8	dB      
29917	2/28/20	14:02:36	42.7	dB      
29916	2/28/20	14:02:31	42.2	dB      
29915	2/28/20	14:02:26	43.5	dB      
29914	2/28/20	14:02:21	43.1	dB      
29913	2/28/20	14:02:16	43.5	dB      
29912	2/28/20	14:02:11	44	dB      
29911	2/28/20	14:02:06	48.4	dB      
29910	2/28/20	14:02:01	44.7	dB      
29909	2/28/20	14:01:56	46.4	dB      
29908	2/28/20	14:01:51	45.2	dB      
29907	2/28/20	14:01:46	44.8	dB      
29906	2/28/20	14:01:41	43.7	dB      
29905	2/28/20	14:01:36	45.1	dB      
29904	2/28/20	14:01:31	44.5	dB      
29903	2/28/20	14:01:26	47.2	dB      
29902	2/28/20	14:01:21	44.4	dB      
29901	2/28/20	14:01:16	46.3	dB      
29900	2/28/20	14:01:11	43.9	dB      
29899	2/28/20	14:01:06	43.3	dB      
29898	2/28/20	14:01:01	45.8	dB      
29897	2/28/20	14:00:56	44.3	dB      
29896	2/28/20	14:00:51	49.4	dB      
29895	2/28/20	14:00:46	43.8	dB      
29894	2/28/20	14:00:41	43	dB      
29893	2/28/20	14:00:36	43.2	dB      
29892	2/28/20	14:00:31	43.8	dB      
29891	2/28/20	14:00:26	42.5	dB      
29890	2/28/20	14:00:21	43.8	dB      
29889	2/28/20	14:00:16	44.7	dB      
29888	2/28/20	14:00:11	42.1	dB      
29887	2/28/20	14:00:06	42.3	dB      
