Place	Date	Time	Value	Unit
30000	3/18/20	22:37:13	39.5	dB      
29999	3/18/20	22:37:08	42.2	dB      
29998	3/18/20	22:37:03	40.1	dB      
29997	3/18/20	22:36:58	39.9	dB      
29996	3/18/20	22:36:53	39	dB      
29995	3/18/20	22:36:48	40.6	dB      
29994	3/18/20	22:36:43	45.5	dB      
29993	3/18/20	22:36:38	40.2	dB      
29992	3/18/20	22:36:33	47	dB      
29991	3/18/20	22:36:28	40.8	dB      
29990	3/18/20	22:36:23	39.8	dB      
29989	3/18/20	22:36:18	41.7	dB      
29988	3/18/20	22:36:13	42.4	dB      
29987	3/18/20	22:36:08	41.7	dB      
29986	3/18/20	22:36:03	42.5	dB      
29985	3/18/20	22:35:58	39.3	dB      
29984	3/18/20	22:35:53	38.4	dB      
29983	3/18/20	22:35:48	38.5	dB      
29982	3/18/20	22:35:43	39.8	dB      
29981	3/18/20	22:35:38	42.9	dB      
29980	3/18/20	22:35:33	44.9	dB      
29979	3/18/20	22:35:28	39.9	dB      
29978	3/18/20	22:35:23	39	dB      
29977	3/18/20	22:35:18	40.9	dB      
29976	3/18/20	22:35:13	40.8	dB      
29975	3/18/20	22:35:08	41.5	dB      
29974	3/18/20	22:35:03	41.4	dB      
29973	3/18/20	22:34:58	41	dB      
29972	3/18/20	22:34:53	40.1	dB      
29971	3/18/20	22:34:48	42.4	dB      
29970	3/18/20	22:34:43	42.4	dB      
29969	3/18/20	22:34:38	42.7	dB      
29968	3/18/20	22:34:33	41.3	dB      
29967	3/18/20	22:34:28	41.2	dB      
29966	3/18/20	22:34:23	45.5	dB      
29965	3/18/20	22:34:18	42.6	dB      
29964	3/18/20	22:34:13	40.6	dB      
29963	3/18/20	22:34:08	41.6	dB      
29962	3/18/20	22:34:03	40.3	dB      
29961	3/18/20	22:33:58	40.4	dB      
29960	3/18/20	22:33:53	42.3	dB      
29959	3/18/20	22:33:48	41.5	dB      
29958	3/18/20	22:33:43	41.7	dB      
29957	3/18/20	22:33:38	45.8	dB      
29956	3/18/20	22:33:33	44	dB      
29955	3/18/20	22:33:28	43.1	dB      
29954	3/18/20	22:33:23	42.9	dB      
29953	3/18/20	22:33:18	41.1	dB      
29952	3/18/20	22:33:13	41	dB      
29951	3/18/20	22:33:08	42.8	dB      
29950	3/18/20	22:33:03	44.8	dB      
29949	3/18/20	22:32:58	43.1	dB      
29948	3/18/20	22:32:53	42.4	dB      
29947	3/18/20	22:32:48	43.2	dB      
29946	3/18/20	22:32:43	47.4	dB      
29945	3/18/20	22:32:38	43.4	dB      
29944	3/18/20	22:32:33	42.1	dB      
29943	3/18/20	22:32:28	42.2	dB      
29942	3/18/20	22:32:23	42	dB      
29941	3/18/20	22:32:18	43.1	dB      
