Place	Date	Time	Value	Unit
21987	3/17/20	6:16:49	49	dB      
21986	3/17/20	6:16:44	50.8	dB      
21985	3/17/20	6:16:39	48.2	dB      
21984	3/17/20	6:16:34	50.8	dB      
21983	3/17/20	6:16:29	47.9	dB      
21982	3/17/20	6:16:24	46.8	dB      
21981	3/17/20	6:16:19	46.1	dB      
21980	3/17/20	6:16:14	66.5	dB      
21979	3/17/20	6:16:09	44.7	dB      
21978	3/17/20	6:16:04	46	dB      
21977	3/17/20	6:15:59	45.6	dB      
21976	3/17/20	6:15:54	45.5	dB      
21975	3/17/20	6:15:49	45.5	dB      
21974	3/17/20	6:15:44	46.1	dB      
21973	3/17/20	6:15:39	46.4	dB      
21972	3/17/20	6:15:34	44.8	dB      
21971	3/17/20	6:15:29	46.3	dB      
21970	3/17/20	6:15:24	46.1	dB      
21969	3/17/20	6:15:19	46.7	dB      
21968	3/17/20	6:15:14	47.6	dB      
21967	3/17/20	6:15:09	47	dB      
21966	3/17/20	6:15:04	49.4	dB      
21965	3/17/20	6:14:59	49.1	dB      
21964	3/17/20	6:14:54	49.7	dB      
21963	3/17/20	6:14:49	48.8	dB      
21962	3/17/20	6:14:44	48.7	dB      
21961	3/17/20	6:14:39	49.9	dB      
21960	3/17/20	6:14:34	47.4	dB      
21959	3/17/20	6:14:29	51.7	dB      
21958	3/17/20	6:14:24	55.9	dB      
21957	3/17/20	6:14:19	51.5	dB      
21956	3/17/20	6:14:14	48.2	dB      
21955	3/17/20	6:14:09	47.7	dB      
21954	3/17/20	6:14:04	45.7	dB      
21953	3/17/20	6:13:59	45.2	dB      
21952	3/17/20	6:13:54	46.1	dB      
21951	3/17/20	6:13:49	46.2	dB      
21950	3/17/20	6:13:44	49.4	dB      
21949	3/17/20	6:13:39	49.8	dB      
21948	3/17/20	6:13:34	47.2	dB      
21947	3/17/20	6:13:29	47.8	dB      
21946	3/17/20	6:13:24	46.7	dB      
21945	3/17/20	6:13:19	49.9	dB      
21944	3/17/20	6:13:14	46.6	dB      
21943	3/17/20	6:13:09	45.2	dB      
21942	3/17/20	6:13:04	46.4	dB      
21941	3/17/20	6:12:59	47.6	dB      
21940	3/17/20	6:12:54	49.7	dB      
21939	3/17/20	6:12:49	49.7	dB      
21938	3/17/20	6:12:44	50.3	dB      
21937	3/17/20	6:12:39	47.1	dB      
21936	3/17/20	6:12:34	54.4	dB      
21935	3/17/20	6:12:29	48	dB      
21934	3/17/20	6:12:24	47.2	dB      
21933	3/17/20	6:12:19	47.2	dB      
21932	3/17/20	6:12:14	51.1	dB      
21931	3/17/20	6:12:09	49.1	dB      
21930	3/17/20	6:12:04	48.4	dB      
21929	3/17/20	6:11:59	50.4	dB      
21928	3/17/20	6:11:54	48.5	dB      
21927	3/17/20	6:11:49	48.1	dB      
21926	3/17/20	6:11:44	48.1	dB      
21925	3/17/20	6:11:39	49.1	dB      
21924	3/17/20	6:11:34	54.4	dB      
21923	3/17/20	6:11:29	50.2	dB      
21922	3/17/20	6:11:24	48.4	dB      
21921	3/17/20	6:11:19	47.6	dB      
21920	3/17/20	6:11:14	48.7	dB      
21919	3/17/20	6:11:09	47.1	dB      
21918	3/17/20	6:11:04	46.7	dB      
21917	3/17/20	6:10:59	48.3	dB      
21916	3/17/20	6:10:54	47.1	dB      
21915	3/17/20	6:10:49	45.7	dB      
21914	3/17/20	6:10:44	45.6	dB      
21913	3/17/20	6:10:39	45.2	dB      
21912	3/17/20	6:10:34	48.9	dB      
21911	3/17/20	6:10:29	48.8	dB      
21910	3/17/20	6:10:24	49.2	dB      
21909	3/17/20	6:10:19	48.5	dB      
21908	3/17/20	6:10:14	56.3	dB      
21907	3/17/20	6:10:09	50.3	dB      
21906	3/17/20	6:10:04	47.6	dB      
21905	3/17/20	6:09:59	46.7	dB      
21904	3/17/20	6:09:54	48.9	dB      
21903	3/17/20	6:09:49	52.6	dB      
21902	3/17/20	6:09:44	48.9	dB      
21901	3/17/20	6:09:39	49.4	dB      
21900	3/17/20	6:09:34	51.3	dB      
21899	3/17/20	6:09:29	50.4	dB      
