Place	Date	Time	Value	Unit
1	3/13/20	3:12:48	43.7	dB      
2	3/13/20	3:12:53	42.6	dB      
3	3/13/20	3:12:58	45.4	dB      
4	3/13/20	3:13:03	43.5	dB      
5	3/13/20	3:13:08	41.9	dB      
6	3/13/20	3:13:13	41.7	dB      
7	3/13/20	3:13:18	41.8	dB      
8	3/13/20	3:13:23	42.5	dB      
9	3/13/20	3:13:28	45.7	dB      
10	3/13/20	3:13:33	43	dB      
11	3/13/20	3:13:38	45	dB      
12	3/13/20	3:13:43	42.4	dB      
13	3/13/20	3:13:48	42.2	dB      
14	3/13/20	3:13:53	42	dB      
15	3/13/20	3:13:58	42.2	dB      
16	3/13/20	3:14:03	42	dB      
17	3/13/20	3:14:08	42	dB      
18	3/13/20	3:14:13	42	dB      
19	3/13/20	3:14:18	42.3	dB      
20	3/13/20	3:14:23	42.8	dB      
21	3/13/20	3:14:28	42.2	dB      
22	3/13/20	3:14:33	41.9	dB      
23	3/13/20	3:14:38	43	dB      
24	3/13/20	3:14:43	42.8	dB      
25	3/13/20	3:14:48	42.6	dB      
26	3/13/20	3:14:53	42	dB      
27	3/13/20	3:14:58	43	dB      
28	3/13/20	3:15:03	42.2	dB      
29	3/13/20	3:15:08	42.9	dB      
30	3/13/20	3:15:13	43.1	dB      
31	3/13/20	3:15:18	43	dB      
32	3/13/20	3:15:23	42.6	dB      
33	3/13/20	3:15:28	41.9	dB      
34	3/13/20	3:15:33	44.6	dB      
35	3/13/20	3:15:38	42.8	dB      
36	3/13/20	3:15:43	45	dB      
37	3/13/20	3:15:48	49.7	dB      
38	3/13/20	3:15:53	48.3	dB      
39	3/13/20	3:15:58	42.9	dB      
40	3/13/20	3:16:03	42.6	dB      
41	3/13/20	3:16:08	42.1	dB      
42	3/13/20	3:16:13	41.6	dB      
43	3/13/20	3:16:18	41.7	dB      
44	3/13/20	3:16:23	41.5	dB      
45	3/13/20	3:16:28	42.2	dB      
46	3/13/20	3:16:33	41.4	dB      
47	3/13/20	3:16:38	40.7	dB      
48	3/13/20	3:16:43	41.8	dB      
49	3/13/20	3:16:48	41.4	dB      
50	3/13/20	3:16:53	41.6	dB      
51	3/13/20	3:16:58	41.7	dB      
52	3/13/20	3:17:03	42.8	dB      
53	3/13/20	3:17:08	42.2	dB      
54	3/13/20	3:17:13	41.7	dB      
55	3/13/20	3:17:18	41.8	dB      
56	3/13/20	3:17:23	43.9	dB      
57	3/13/20	3:17:28	52.4	dB      
58	3/13/20	3:17:33	44.2	dB      
59	3/13/20	3:17:38	42	dB      
60	3/13/20	3:17:43	43	dB      
61	3/13/20	3:17:48	41.3	dB      
62	3/13/20	3:17:53	41.4	dB      
63	3/13/20	3:17:58	41.6	dB      
64	3/13/20	3:18:03	41.7	dB      
65	3/13/20	3:18:08	40.8	dB      
